stropheOrdinalNumeral,verseOrdinalNumeral,citationYear,authorPerson,work,manOfLettersCount,vulgarizerCount,artistCount,otherRoleCount,allRoles
1,18,1800,http://e-editiones.ch/project/data/delille#person-petitain,http://e-editiones.ch/project/data/delille#work-petitainjournaldeparis,1,0,0,0,1
1,18,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,18,1822,http://e-editiones.ch/project/data/delille#person-larue,http://e-editiones.ch/project/data/delille#work-larueletters,0,0,1,0,1
1,18,1822,http://e-editiones.ch/project/data/delille#person-larue,http://e-editiones.ch/project/data/delille#work-laruelettres,0,0,1,0,1
1,19,1850,_:genid-29916f6dc9654d2cb60d6184af09222e-t_401,http://e-editiones.ch/project/data/delille#work-stammbuch,0,0,0,0,0
1,19,1800,_:genid-29916f6dc9654d2cb60d6184af09222e-t_402,http://e-editiones.ch/project/data/delille#work-compterendumercurelondres,0,0,0,0,0
1,19,1800,_:genid-29916f6dc9654d2cb60d6184af09222e-t_403,http://e-editiones.ch/project/data/delille#work-compterendumonthlyreview,0,0,0,0,0
1,19,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,19,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,19,1849,http://e-editiones.ch/project/data/delille#person-gauss,http://e-editiones.ch/project/data/delille#work-gaussstammbuch,1,0,0,0,1
1,19,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,19,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
